Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta
-1200,0,"0x0000",0,-1200.000,0.000,-1200.000,0.000
-1199,1835008,"0x1C0000",1835008,-1198.975,-0.025,-1198.975,-0.025
-1198,3670016,"0x380000",1835008,-1197.949,-0.051,-1197.949,-0.051
-1197,5505024,"0x540000",1835008,-1196.924,-0.076,-1196.924,-0.076
-1196,7340032,"0x700000",1835008,-1195.898,-0.102,-1195.898,-0.102
-1195,9175040,"0x8C0000",1835008,-1194.873,-0.127,-1194.873,-0.127
-1194,10747904,"0xA40000",1572864,-1193.994,-0.006,-1193.994,-0.006
-1193,12582912,"0xC00000",1835008,-1192.969,-0.031,-1192.969,-0.031
-1192,14417920,"0xDC0000",1835008,-1191.943,-0.057,-1191.943,-0.057
-1191,16252928,"0xF80000",1835008,-1190.918,-0.082,-1190.918,-0.082
-1190,18087936,"0x1140000",1835008,-1189.893,-0.107,-1189.893,-0.107
-1189,19922944,"0x1300000",1835008,-1188.867,-0.133,-1188.867,-0.133
-1188,21495808,"0x1480000",1572864,-1187.988,-0.012,-1187.988,-0.012
-1187,23330816,"0x1640000",1835008,-1186.963,-0.037,-1186.963,-0.037
-1186,25165824,"0x1800000",1835008,-1185.938,-0.062,-1185.938,-0.063
-1185,27000832,"0x19C0000",1835008,-1184.912,-0.088,-1184.912,-0.088
-1184,28835840,"0x1B80000",1835008,-1183.887,-0.113,-1183.887,-0.113
-1183,30670848,"0x1D40000",1835008,-1182.861,-0.139,-1182.861,-0.139
-1182,32243712,"0x1EC0000",1572864,-1181.982,-0.018,-1181.982,-0.018
-1181,34078720,"0x2080000",1835008,-1180.957,-0.043,-1180.957,-0.043
-1180,35913728,"0x2240000",1835008,-1179.932,-0.068,-1179.932,-0.068
-1179,37748736,"0x2400000",1835008,-1178.906,-0.094,-1178.906,-0.094
-1178,39583744,"0x25C0000",1835008,-1177.881,-0.119,-1177.881,-0.119
-1177,41418752,"0x2780000",1835008,-1176.855,-0.145,-1176.855,-0.145
-1176,42991616,"0x2900000",1572864,-1175.977,-0.023,-1175.977,-0.023
-1175,44826624,"0x2AC0000",1835008,-1174.951,-0.049,-1174.951,-0.049
-1174,46661632,"0x2C80000",1835008,-1173.926,-0.074,-1173.926,-0.074
-1173,48496640,"0x2E40000",1835008,-1172.900,-0.100,-1172.900,-0.100
-1172,50331648,"0x3000000",1835008,-1171.875,-0.125,-1171.875,-0.125
-1171,51904512,"0x3180000",1572864,-1170.996,-0.004,-1170.996,-0.004
-1170,53739520,"0x3340000",1835008,-1169.971,-0.029,-1169.971,-0.029
-1169,55574528,"0x3500000",1835008,-1168.945,-0.055,-1168.945,-0.055
-1168,57409536,"0x36C0000",1835008,-1167.920,-0.080,-1167.920,-0.080
-1167,59244544,"0x3880000",1835008,-1166.895,-0.105,-1166.895,-0.105
-1166,61079552,"0x3A40000",1835008,-1165.869,-0.131,-1165.869,-0.131
-1165,62652416,"0x3BC0000",1572864,-1164.990,-0.010,-1164.990,-0.010
-1164,64487424,"0x3D80000",1835008,-1163.965,-0.035,-1163.965,-0.035
-1163,66322432,"0x3F40000",1835008,-1162.939,-0.061,-1162.939,-0.061
-1162,68157440,"0x4100000",1835008,-1161.914,-0.086,-1161.914,-0.086
-1161,69992448,"0x42C0000",1835008,-1160.889,-0.111,-1160.889,-0.111
-1160,71827456,"0x4480000",1835008,-1159.863,-0.137,-1159.863,-0.137
-1159,73400320,"0x4600000",1572864,-1158.984,-0.016,-1158.984,-0.016
-1158,75235328,"0x47C0000",1835008,-1157.959,-0.041,-1157.959,-0.041
-1157,77070336,"0x4980000",1835008,-1156.934,-0.066,-1156.934,-0.066
-1156,78905344,"0x4B40000",1835008,-1155.908,-0.092,-1155.908,-0.092
-1155,80740352,"0x4D00000",1835008,-1154.883,-0.117,-1154.883,-0.117
-1154,82575360,"0x4EC0000",1835008,-1153.857,-0.143,-1153.857,-0.143
-1153,84148224,"0x5040000",1572864,-1152.979,-0.021,-1152.979,-0.021
-1152,85983232,"0x5200000",1835008,-1151.953,-0.047,-1151.953,-0.047
-1151,87818240,"0x53C0000",1835008,-1150.928,-0.072,-1150.928,-0.072
-1150,89653248,"0x5580000",1835008,-1149.902,-0.098,-1149.902,-0.098
-1149,91488256,"0x5740000",1835008,-1148.877,-0.123,-1148.877,-0.123
-1148,93061120,"0x58C0000",1572864,-1147.998,-0.002,-1147.998,-0.002
-1147,94896128,"0x5A80000",1835008,-1146.973,-0.027,-1146.973,-0.027
-1146,96731136,"0x5C40000",1835008,-1145.947,-0.053,-1145.947,-0.053
-1145,98566144,"0x5E00000",1835008,-1144.922,-0.078,-1144.922,-0.078
-1144,100401152,"0x5FC0000",1835008,-1143.896,-0.104,-1143.896,-0.104
-1143,102236160,"0x6180000",1835008,-1142.871,-0.129,-1142.871,-0.129
-1142,103809024,"0x6300000",1572864,-1141.992,-0.008,-1141.992,-0.008
-1141,105644032,"0x64C0000",1835008,-1140.967,-0.033,-1140.967,-0.033
-1140,107479040,"0x6680000",1835008,-1139.941,-0.059,-1139.941,-0.059
-1139,109314048,"0x6840000",1835008,-1138.916,-0.084,-1138.916,-0.084
-1138,111149056,"0x6A00000",1835008,-1137.891,-0.109,-1137.891,-0.109
-1137,112984064,"0x6BC0000",1835008,-1136.865,-0.135,-1136.865,-0.135
-1136,114556928,"0x6D40000",1572864,-1135.986,-0.014,-1135.986,-0.014
-1135,116391936,"0x6F00000",1835008,-1134.961,-0.039,-1134.961,-0.039
-1134,118226944,"0x70C0000",1835008,-1133.936,-0.064,-1133.936,-0.064
-1133,120061952,"0x7280000",1835008,-1132.910,-0.090,-1132.910,-0.090
-1132,121896960,"0x7440000",1835008,-1131.885,-0.115,-1131.885,-0.115
-1131,123731968,"0x7600000",1835008,-1130.859,-0.141,-1130.859,-0.141
-1130,125304832,"0x7780000",1572864,-1129.980,-0.020,-1129.980,-0.020
-1129,127139840,"0x7940000",1835008,-1128.955,-0.045,-1128.955,-0.045
-1128,128974848,"0x7B00000",1835008,-1127.930,-0.070,-1127.930,-0.070
-1127,130809856,"0x7CC0000",1835008,-1126.904,-0.096,-1126.904,-0.096
-1126,132644864,"0x7E80000",1835008,-1125.879,-0.121,-1125.879,-0.121
-1125,134217728,"0x8000000",1572864,-1125.000,0.000,-1125.000,0.000
-1124,136052736,"0x81C0000",1835008,-1123.975,-0.025,-1123.975,-0.025
-1123,137887744,"0x8380000",1835008,-1122.949,-0.051,-1122.949,-0.051
-1122,139722752,"0x8540000",1835008,-1121.924,-0.076,-1121.924,-0.076
-1121,141557760,"0x8700000",1835008,-1120.898,-0.102,-1120.898,-0.102
-1120,143392768,"0x88C0000",1835008,-1119.873,-0.127,-1119.873,-0.127
-1119,144965632,"0x8A40000",1572864,-1118.994,-0.006,-1118.994,-0.006
-1118,146800640,"0x8C00000",1835008,-1117.969,-0.031,-1117.969,-0.031
-1117,148635648,"0x8DC0000",1835008,-1116.943,-0.057,-1116.943,-0.057
-1116,150470656,"0x8F80000",1835008,-1115.918,-0.082,-1115.918,-0.082
-1115,152305664,"0x9140000",1835008,-1114.893,-0.107,-1114.893,-0.107
-1114,154140672,"0x9300000",1835008,-1113.867,-0.133,-1113.867,-0.133
-1113,155713536,"0x9480000",1572864,-1112.988,-0.012,-1112.988,-0.012
-1112,157548544,"0x9640000",1835008,-1111.963,-0.037,-1111.963,-0.037
-1111,159383552,"0x9800000",1835008,-1110.938,-0.062,-1110.938,-0.063
-1110,161218560,"0x99C0000",1835008,-1109.912,-0.088,-1109.912,-0.088
-1109,163053568,"0x9B80000",1835008,-1108.887,-0.113,-1108.887,-0.113
-1108,164888576,"0x9D40000",1835008,-1107.861,-0.139,-1107.861,-0.139
-1107,166461440,"0x9EC0000",1572864,-1106.982,-0.018,-1106.982,-0.018
-1106,168296448,"0xA080000",1835008,-1105.957,-0.043,-1105.957,-0.043
-1105,170131456,"0xA240000",1835008,-1104.932,-0.068,-1104.932,-0.068
-1104,171966464,"0xA400000",1835008,-1103.906,-0.094,-1103.906,-0.094
-1103,173801472,"0xA5C0000",1835008,-1102.881,-0.119,-1102.881,-0.119
-1102,175636480,"0xA780000",1835008,-1101.855,-0.145,-1101.855,-0.145
-1101,177209344,"0xA900000",1572864,-1100.977,-0.023,-1100.977,-0.023
-1100,179044352,"0xAAC0000",1835008,-1099.951,-0.049,-1099.951,-0.049
-1099,180879360,"0xAC80000",1835008,-1098.926,-0.074,-1098.926,-0.074
-1098,182714368,"0xAE40000",1835008,-1097.900,-0.100,-1097.900,-0.100
-1097,184549376,"0xB000000",1835008,-1096.875,-0.125,-1096.875,-0.125
-1096,186122240,"0xB180000",1572864,-1095.996,-0.004,-1095.996,-0.004
-1095,187957248,"0xB340000",1835008,-1094.971,-0.029,-1094.971,-0.029
-1094,189792256,"0xB500000",1835008,-1093.945,-0.055,-1093.945,-0.055
-1093,191627264,"0xB6C0000",1835008,-1092.920,-0.080,-1092.920,-0.080
-1092,193462272,"0xB880000",1835008,-1091.895,-0.105,-1091.895,-0.105
-1091,195297280,"0xBA40000",1835008,-1090.869,-0.131,-1090.869,-0.131
-1090,196870144,"0xBBC0000",1572864,-1089.990,-0.010,-1089.990,-0.010
-1089,198705152,"0xBD80000",1835008,-1088.965,-0.035,-1088.965,-0.035
-1088,200540160,"0xBF40000",1835008,-1087.939,-0.061,-1087.939,-0.061
-1087,202375168,"0xC100000",1835008,-1086.914,-0.086,-1086.914,-0.086
-1086,204210176,"0xC2C0000",1835008,-1085.889,-0.111,-1085.889,-0.111
-1085,206045184,"0xC480000",1835008,-1084.863,-0.137,-1084.863,-0.137
-1084,207618048,"0xC600000",1572864,-1083.984,-0.016,-1083.984,-0.016
-1083,209453056,"0xC7C0000",1835008,-1082.959,-0.041,-1082.959,-0.041
-1082,211288064,"0xC980000",1835008,-1081.934,-0.066,-1081.934,-0.066
-1081,213123072,"0xCB40000",1835008,-1080.908,-0.092,-1080.908,-0.092
-1080,214958080,"0xCD00000",1835008,-1079.883,-0.117,-1079.883,-0.117
-1079,216793088,"0xCEC0000",1835008,-1078.857,-0.143,-1078.857,-0.143
-1078,218365952,"0xD040000",1572864,-1077.979,-0.021,-1077.979,-0.021
-1077,220200960,"0xD200000",1835008,-1076.953,-0.047,-1076.953,-0.047
-1076,222035968,"0xD3C0000",1835008,-1075.928,-0.072,-1075.928,-0.072
-1075,223870976,"0xD580000",1835008,-1074.902,-0.098,-1074.902,-0.098
-1074,225705984,"0xD740000",1835008,-1073.877,-0.123,-1073.877,-0.123
-1073,227278848,"0xD8C0000",1572864,-1072.998,-0.002,-1072.998,-0.002
-1072,229113856,"0xDA80000",1835008,-1071.973,-0.027,-1071.973,-0.027
-1071,230948864,"0xDC40000",1835008,-1070.947,-0.053,-1070.947,-0.053
-1070,232783872,"0xDE00000",1835008,-1069.922,-0.078,-1069.922,-0.078
-1069,234618880,"0xDFC0000",1835008,-1068.896,-0.104,-1068.896,-0.104
-1068,236453888,"0xE180000",1835008,-1067.871,-0.129,-1067.871,-0.129
-1067,238026752,"0xE300000",1572864,-1066.992,-0.008,-1066.992,-0.008
-1066,239861760,"0xE4C0000",1835008,-1065.967,-0.033,-1065.967,-0.033
-1065,241696768,"0xE680000",1835008,-1064.941,-0.059,-1064.941,-0.059
-1064,243531776,"0xE840000",1835008,-1063.916,-0.084,-1063.916,-0.084
-1063,245366784,"0xEA00000",1835008,-1062.891,-0.109,-1062.891,-0.109
-1062,247201792,"0xEBC0000",1835008,-1061.865,-0.135,-1061.865,-0.135
-1061,248774656,"0xED40000",1572864,-1060.986,-0.014,-1060.986,-0.014
-1060,250609664,"0xEF00000",1835008,-1059.961,-0.039,-1059.961,-0.039
-1059,252444672,"0xF0C0000",1835008,-1058.936,-0.064,-1058.936,-0.064
-1058,254279680,"0xF280000",1835008,-1057.910,-0.090,-1057.910,-0.090
-1057,256114688,"0xF440000",1835008,-1056.885,-0.115,-1056.885,-0.115
-1056,257949696,"0xF600000",1835008,-1055.859,-0.141,-1055.859,-0.141
-1055,259522560,"0xF780000",1572864,-1054.980,-0.020,-1054.980,-0.020
-1054,261357568,"0xF940000",1835008,-1053.955,-0.045,-1053.955,-0.045
-1053,263192576,"0xFB00000",1835008,-1052.930,-0.070,-1052.930,-0.070
-1052,265027584,"0xFCC0000",1835008,-1051.904,-0.096,-1051.904,-0.096
-1051,266862592,"0xFE80000",1835008,-1050.879,-0.121,-1050.879,-0.121
-1050,268435456,"0x10000000",1572864,-1050.000,0.000,-1050.000,0.000
-1049,270270464,"0x101C0000",1835008,-1048.975,-0.025,-1048.975,-0.025
-1048,272105472,"0x10380000",1835008,-1047.949,-0.051,-1047.949,-0.051
-1047,273940480,"0x10540000",1835008,-1046.924,-0.076,-1046.924,-0.076
-1046,275775488,"0x10700000",1835008,-1045.898,-0.102,-1045.898,-0.102
-1045,277610496,"0x108C0000",1835008,-1044.873,-0.127,-1044.873,-0.127
-1044,279183360,"0x10A40000",1572864,-1043.994,-0.006,-1043.994,-0.006
-1043,281018368,"0x10C00000",1835008,-1042.969,-0.031,-1042.969,-0.031
-1042,282853376,"0x10DC0000",1835008,-1041.943,-0.057,-1041.943,-0.057
-1041,284688384,"0x10F80000",1835008,-1040.918,-0.082,-1040.918,-0.082
-1040,286523392,"0x11140000",1835008,-1039.893,-0.107,-1039.893,-0.107
-1039,288358400,"0x11300000",1835008,-1038.867,-0.133,-1038.867,-0.133
-1038,289931264,"0x11480000",1572864,-1037.988,-0.012,-1037.988,-0.012
-1037,291766272,"0x11640000",1835008,-1036.963,-0.037,-1036.963,-0.037
-1036,293601280,"0x11800000",1835008,-1035.938,-0.062,-1035.938,-0.063
-1035,295436288,"0x119C0000",1835008,-1034.912,-0.088,-1034.912,-0.088
-1034,297271296,"0x11B80000",1835008,-1033.887,-0.113,-1033.887,-0.113
-1033,299106304,"0x11D40000",1835008,-1032.861,-0.139,-1032.861,-0.139
