Pitch Offset,Pitch Bend,Pitch Bend Hex,Delta Pitch Bend,Linear Pitch Offset,Linear Pitch Offset Delta,Piecewise Pitch Offset,Piecewise Pitch Offset Delta,
-100,0,"0x0000",0,-100.000,0.000,-100.000,0.000
-99,21495808,"0x1480000",21495808,-98.999,-0.001,-98.999,-0.001
-98,42991616,"0x2900000",21495808,-97.998,-0.002,-97.998,-0.002
-97,64487424,"0x3D80000",21495808,-96.997,-0.003,-96.997,-0.003
-96,85983232,"0x5200000",21495808,-95.996,-0.004,-95.996,-0.004
-95,107479040,"0x6680000",21495808,-94.995,-0.005,-94.995,-0.005
-94,128974848,"0x7B00000",21495808,-93.994,-0.006,-93.994,-0.006
-93,150470656,"0x8F80000",21495808,-92.993,-0.007,-92.993,-0.007
-92,171966464,"0xA400000",21495808,-91.992,-0.008,-91.992,-0.008
-91,193462272,"0xB880000",21495808,-90.991,-0.009,-90.991,-0.009
-90,214958080,"0xCD00000",21495808,-89.990,-0.010,-89.990,-0.010
-89,236453888,"0xE180000",21495808,-88.989,-0.011,-88.989,-0.011
-88,257949696,"0xF600000",21495808,-87.988,-0.012,-87.988,-0.012
-87,279183360,"0x10A40000",21233664,-87.000,-0.000,-87.000,-0.000
-86,300679168,"0x11EC0000",21495808,-85.999,-0.001,-85.999,-0.001
-85,322174976,"0x13340000",21495808,-84.998,-0.002,-84.998,-0.002
-84,343670784,"0x147C0000",21495808,-83.997,-0.003,-83.997,-0.003
-83,365166592,"0x15C40000",21495808,-82.996,-0.004,-82.996,-0.004
-82,386662400,"0x170C0000",21495808,-81.995,-0.005,-81.995,-0.005
-81,408158208,"0x18540000",21495808,-80.994,-0.006,-80.994,-0.006
-80,429654016,"0x199C0000",21495808,-79.993,-0.007,-79.993,-0.007
-79,451149824,"0x1AE40000",21495808,-78.992,-0.008,-78.992,-0.008
-78,472645632,"0x1C2C0000",21495808,-77.991,-0.009,-77.991,-0.009
-77,494141440,"0x1D740000",21495808,-76.990,-0.010,-76.990,-0.010
-76,515637248,"0x1EBC0000",21495808,-75.989,-0.011,-75.989,-0.011
-75,536870912,"0x20000000",21233664,-75.000,0.000,-75.000,0.000
-74,558366720,"0x21480000",21495808,-73.999,-0.001,-73.999,-0.001
-73,579862528,"0x22900000",21495808,-72.998,-0.002,-72.998,-0.002
-72,601358336,"0x23D80000",21495808,-71.997,-0.003,-71.997,-0.003
-71,622854144,"0x25200000",21495808,-70.996,-0.004,-70.996,-0.004
-70,644349952,"0x26680000",21495808,-69.995,-0.005,-69.995,-0.005
-69,665845760,"0x27B00000",21495808,-68.994,-0.006,-68.994,-0.006
-68,687341568,"0x28F80000",21495808,-67.993,-0.007,-67.993,-0.007
-67,708837376,"0x2A400000",21495808,-66.992,-0.008,-66.992,-0.008
-66,730333184,"0x2B880000",21495808,-65.991,-0.009,-65.991,-0.009
-65,751828992,"0x2CD00000",21495808,-64.990,-0.010,-64.990,-0.010
-64,773324800,"0x2E180000",21495808,-63.989,-0.011,-63.989,-0.011
-63,794820608,"0x2F600000",21495808,-62.988,-0.012,-62.988,-0.012
-62,816054272,"0x30A40000",21233664,-62.000,-0.000,-62.000,-0.000
-61,837550080,"0x31EC0000",21495808,-60.999,-0.001,-60.999,-0.001
-60,859045888,"0x33340000",21495808,-59.998,-0.002,-59.998,-0.002
-59,880541696,"0x347C0000",21495808,-58.997,-0.003,-58.997,-0.003
-58,902037504,"0x35C40000",21495808,-57.996,-0.004,-57.996,-0.004
-57,923533312,"0x370C0000",21495808,-56.995,-0.005,-56.995,-0.005
-56,945029120,"0x38540000",21495808,-55.994,-0.006,-55.994,-0.006
-55,966524928,"0x399C0000",21495808,-54.993,-0.007,-54.993,-0.007
-54,988020736,"0x3AE40000",21495808,-53.992,-0.008,-53.992,-0.008
-53,1009516544,"0x3C2C0000",21495808,-52.991,-0.009,-52.991,-0.009
-52,1031012352,"0x3D740000",21495808,-51.990,-0.010,-51.990,-0.010
-51,1052508160,"0x3EBC0000",21495808,-50.989,-0.011,-50.989,-0.011
-50,1073741824,"0x40000000",21233664,-50.000,0.000,-50.000,0.000
-49,1095237632,"0x41480000",21495808,-48.999,-0.001,-48.999,-0.001
-48,1116733440,"0x42900000",21495808,-47.998,-0.002,-47.998,-0.002
-47,1138229248,"0x43D80000",21495808,-46.997,-0.003,-46.997,-0.003
-46,1159725056,"0x45200000",21495808,-45.996,-0.004,-45.996,-0.004
-45,1181220864,"0x46680000",21495808,-44.995,-0.005,-44.995,-0.005
-44,1202716672,"0x47B00000",21495808,-43.994,-0.006,-43.994,-0.006
-43,1224212480,"0x48F80000",21495808,-42.993,-0.007,-42.993,-0.007
-42,1245708288,"0x4A400000",21495808,-41.992,-0.008,-41.992,-0.008
